UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors,Overall Rating
Aarhus, Denmark,Europe,6.132,4.015,2.827,2.512,3.536,6.312,9.94,9.617,8.704,5.366,7.633,4.887,5.068,8.373,3.187,9.739,4.13,6.00
Adelaide, Australia,Oceania,6.31,4.692,3.136,2.64,1.777,5.336,9.4,7.926,7.937,5.142,8.331,6.07,4.588,4.341,4.328,7.822,5.531,5.61
Birmingham,United States,North America,6.556,5.133,4.358,1,1.435,2.021,8.671,1.776,6.541,3.624,7.038,6.514,4.204,5.16,5.384,4.882,1.266,4.44
Almaty, Kazakhstan,Asia,9.282,9.333,2.458,0,4.592,5.871,5.568,7.309,4.546,2.283,3.857,5.269,8.522,2.886,2.937,6.54,5.5,5.10
Amsterdam, Netherlands,Europe,3.053,3.824,7.972,6.107,8.324,6.118,8.837,8.504,7.907,6.18,7.597,5.053,4.955,4.523,8.874,8.368,5.307,6.56
Anchorage,United States,North America,5.434,3.141,2.794,0,1.738,4.715,8.671,3.47,6.06,3.624,9.272,6.514,4.772,4.964,3.266,7.093,5.358,4.76
Andorra,Andorra,Europe,3.969,0,1,0,0.5,0,0,9.554,0,0,7.256,0,4.475,7.186,2.132,8.704,3.588,2.84
Ankara, Turkey,Asia,9.928,9.125,3.973,0,2.047,5.291,5.948,7.425,6.914,2.029,2.936,4.094,4.323,2.316,8.638,4.486,5.146,4.98
Phoenix,United States,North America,6.533,6.208,6.509,4.558,3.302,4.829,8.671,2.583,6.126,4.591,4.625,6.514,4.488,6.178,6.81,5.565,6.736,5.58
Asuncion, Paraguay,South America,9.226,9.295,2.207,0,0.645,4.969,3.684,6.934,5.485,0,3.969,4.109,8.423,1.479,5.992,7.051,3.485,4.53
Athens, Greece,Europe,9.052,6.5,4.404,2.325,3.707,5.22,6.169,6.758,7.153,3.162,3.802,3.32,4.166,2.228,7.876,6.268,6.483,5.21
Los Angeles,United States,North America,1.528,4.556,10,10,3.958,3.677,8.575,5.705,6.027,8.624,4.732,6.514,4.768,5.497,9.196,6.96,6.747,6.30
Auckland, New Zealand,Oceania,4.72,4.47,4.588,2.79,1.305,4.845,10,7.022,8.163,5.046,8.272,5.506,5.932,6.85,4.396,7.402,5.862,5.72
Palo Alto,United States,North America,0.5,0,8.294,9.623,3.151,2.203,8.671,7.637,6.515,3.624,6.727,6.514,4.488,7.142,0,8.454,1.75,5.02
Baku, Azerbaijan,Asia,9.745,9.806,2.67,0,2.169,5.492,5.672,8.772,3.702,0,2.621,3.876,5.861,1.442,6.22,6.585,4.503,4.66
Bali, Indonesia,Asia,5,0,1.628,0,1.93,5.194,3.912,8.748,4.442,0.528,4.138,4.658,6.266,3.238,6.334,4.559,7.5,4.00
San Diego,United States,North America,2.934,5.156,8.35,8.595,2.622,4.41,8.671,6.933,6.52,5.458,7.267,6.514,4.488,5.999,8.21,8.54,6.396,6.30
Bangkok, Thailand,Asia,7.394,7.222,6.119,3.453,4.112,4.294,5.604,7.036,7.127,1.692,3.371,2.387,6.795,4.826,9.089,6.019,6.494,5.47
Barcelona, Spain,Europe,6.323,6.074,7.759,5.655,5.806,5.699,7.12,7.407,8.403,5.029,3.666,4.296,3.894,6.468,8.591,7.472,5.828,6.21
Beijing, China,Asia,6.173,8.101,4.872,9.562,7.018,4.837,3.815,7.066,6.423,7.971,2.056,6.103,1.426,3.493,7.268,2.822,4.944,5.53
Beirut, Lebanon,Asia,6.656,6.3,3.409,0,1.305,4.773,4.329,6.833,6.159,1.004,1.449,3.435,8.28,1.59,3.4,4.184,3.842,3.94
Belfast, United Kingdom,Europe,7.532,6.014,3.55,1.621,4.098,5.28,8.992,7.679,8.168,4.687,8.378,5.438,5.954,5.596,4.957,5.98,1.413,5.61
Belgrade, Serbia,Europe,9.258,8.546,4.91,2.333,2.137,5.578,5.384,6.7,6.01,0.5,4.883,1.638,4.166,3.863,6.497,7.387,5.078,4.99
Belize City, Belize,North America,4.642,0,1.866,0,0.89,0,3.411,6.052,5.504,0,2.031,3.496,6.93,3.808,1.064,6.865,0.5,2.77
Bengaluru, India,Asia,9.811,10,10,8.973,4.064,4.006,3.618,7.294,3.937,0.656,2.756,5.556,3.414,2.841,3.222,3.484,2.385,5.06
Bergen, Norway,Europe,5.229,1.805,2.207,1,3.243,5.888,9.635,7.708,7.647,4.84,7.539,7.074,4.752,6.537,4.488,7.614,4.314,5.38
Berlin, Germany,Europe,6.395,5.524,9.085,7.82,7.025,6.196,9.072,7.252,7.991,7.019,6.772,5.374,3.904,4.678,8.881,7.177,5.475,6.80
Bern, Switzerland,Europe,4.923,1,2.688,0,5.264,5.198,8.888,9.266,7.52,5.346,9.244,6.552,6.429,6.115,4.245,8.589,2.122,5.49
Bilbao, Spain,Europe,6.888,5.638,2.668,0,4.174,5.775,7.12,8.78,9.321,3.759,8.328,4.296,3.894,5.756,6.014,8.663,1.481,5.44
Birmingham, United Kingdom,Europe,5.904,5.814,4.358,2.541,5.845,5.494,8.992,6.947,8.294,5.026,5.738,5.438,5.954,5.94,4.435,6.421,1.268,5.55
San Francisco Bay Area,United States,North America,1,2.618,10,10,3.655,4.687,8.671,5.716,6.449,8.624,6.482,6.514,4.488,5.606,9.407,8.013,7.014,6.41
Bogota, Colombia,South America,9.028,9.08,5.708,1.259,1.889,4.964,6.349,6.222,6.302,1.534,4.348,4.594,1.852,2.976,6.215,8.555,7.477,5.20
San Luis Obispo,United States,North America,1.724,0,3.828,3.077,1.134,1.392,8.671,8.058,5.871,3.624,7.392,6.514,4.488,7.936,2.776,9.666,1.508,4.57
Bologna, Italy,Europe,7.472,5.189,3.149,1.397,3.682,5.53,6.19,7.337,8.578,4.203,5.46,3.362,2.436,7.71,5.736,7.618,1.582,5.10
Bordeaux, France,Europe,7.192,4.583,3.692,0,4.876,5.55,8.088,7.466,8.823,4.442,7.261,4.204,2.648,3.875,5.3,7.126,2.876,5.18
Boulder,United States,North America,3.704,4.531,5.853,6.019,4.207,6.138,8.671,7.074,7.05,4.679,9.844,6.514,4.346,6.278,2.565,9.275,6.699,6.09
Colorado Springs,United States,North America,6.5,5.375,4.267,2.147,1.266,1.735,8.671,5.378,5.844,3.624,8.527,6.514,4.346,5.922,3.812,9.206,7.356,5.32
Denver,United States,North America,3.838,5.102,7.864,6.117,4.243,4.53,8.671,5.371,6.22,3.624,7.117,6.514,4.346,5.419,6.224,7.86,7.933,5.94
Bratislava, Slovakia,Europe,7.874,7.618,3.487,0,4.89,5.812,6.189,8.618,6.752,3.298,6.2,4.47,4.937,4.584,6.186,6.432,4.858,5.42
