UA_Name,UA_Country,UA_Continent,Venture Capital,Business Freedom,Economy,Taxation,Macroeconomic Overall,Internet Access,Leisure & Culture,Outdoors,Tolerance,Recreational Overall,Housing,Cost of Living,Safety,Environmental Quality,Residential Overall,Overall Rating
Aarhus, Denmark,Europe,2.512,9.94,4.887,5.068,5.60175,8.373,3.187,4.13,9.739,6.35725,6.132,4.015,9.617,7.633,6.84925,6.269416667
Adelaide, Australia,Oceania,2.64,9.4,6.07,4.588,5.6745,4.341,4.328,5.531,7.822,5.5055,6.31,4.692,7.926,8.331,6.81475,5.99825
Birmingham,United States,North America,1,8.671,6.514,4.204,5.09725,5.16,5.384,1.266,4.882,4.173,6.556,5.133,1.776,7.038,5.12575,4.798666667
Almaty, Kazakhstan,Asia,0,5.568,5.269,8.522,4.83975,2.886,2.937,5.5,6.54,4.46575,9.282,9.333,7.309,3.857,7.44525,5.583583333
Amsterdam, Netherlands,Europe,6.107,8.837,5.053,4.955,6.238,4.523,8.874,5.307,8.368,6.768,3.053,3.824,8.504,7.597,5.7445,6.250166667
Anchorage,United States,North America,0,8.671,6.514,4.772,4.98925,4.964,3.266,5.358,7.093,5.17025,5.434,3.141,3.47,9.272,5.32925,5.162916667
Andorra,Andorra,Europe,0,0,0,4.475,1.11875,7.186,2.132,3.588,8.704,5.4025,3.969,0,9.554,7.256,5.19475,3.905333333
Ankara, Turkey,Asia,0,5.948,4.094,4.323,3.59125,2.316,8.638,5.146,4.486,5.1465,9.928,9.125,7.425,2.936,7.3535,5.36375
Phoenix,United States,North America,4.558,8.671,6.514,4.488,6.05775,6.178,6.81,6.736,5.565,6.32225,6.533,6.208,2.583,4.625,4.98725,5.789083333
Asuncion, Paraguay,South America,0,3.684,4.109,8.423,4.054,1.479,5.992,3.485,7.051,4.50175,9.226,9.295,6.934,3.969,7.356,5.303916667
Athens, Greece,Europe,2.325,6.169,3.32,4.166,3.995,2.228,7.876,6.483,6.268,5.71375,9.052,6.5,6.758,3.802,6.528,5.41225
Los Angeles,United States,North America,10,8.575,6.514,4.768,7.46425,5.497,9.196,6.747,6.96,7.1,1.528,4.556,5.705,4.732,4.13025,6.2315
