UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Healthcare,Leisure & Culture,Overall Rating
Aarhus, Denmark,Europe,6.132,4.015,8.704,3.187,5.5095
Adelaide, Australia,Oceania,6.31,4.692,7.937,4.328,5.81675
Birmingham,United States,North America,6.556,5.133,6.541,5.384,5.9035
Almaty, Kazakhstan,Asia,9.282,9.333,4.546,2.937,6.5245
Amsterdam, Netherlands,Europe,3.053,3.824,7.907,8.874,5.9145
Anchorage,United States,North America,5.434,3.141,6.06,3.266,4.47525
Andorra,Andorra,Europe,3.969,0,0,2.132,1.52525
Ankara, Turkey,Asia,9.928,9.125,6.914,8.638,8.65125
Phoenix,United States,North America,6.533,6.208,6.126,6.81,6.41925
Asuncion, Paraguay,South America,9.226,9.295,5.485,5.992,7.4995
Athens, Greece,Europe,9.052,6.5,7.153,7.876,7.64525
Los Angeles,United States,North America,1.528,4.556,6.027,9.196,5.32675
Auckland, New Zealand,Oceania,4.72,4.47,8.163,4.396,5.43725
Palo Alto,United States,North America,0.5,0,6.515,0,1.75375
Baku, Azerbaijan,Asia,9.745,9.806,3.702,6.22,7.36825
Bali, Indonesia,Asia,5,0,4.442,6.334,3.944
San Diego,United States,North America,2.934,5.156,6.52,8.21,5.705
Bangkok, Thailand,Asia,7.394,7.222,7.127,9.089,7.708
Barcelona, Spain,Europe,6.323,6.074,8.403,8.591,7.34775
Beijing, China,Asia,6.173,8.101,6.423,7.268,6.99125
Beirut, Lebanon,Asia,6.656,6.3,6.159,3.4,5.62875
Belfast, United Kingdom,Europe,7.532,6.014,8.168,4.957,6.66775
Belgrade, Serbia,Europe,9.258,8.546,6.01,6.497,7.57775
Belize City, Belize,North America,4.642,0,5.504,1.064,2.8025
Bengaluru, India,Asia,9.811,10,3.937,3.222,6.7425
Bergen, Norway,Europe,5.229,1.805,7.647,4.488,4.79225
Berlin, Germany,Europe,6.395,5.524,7.991,8.881,7.19775
Bern, Switzerland,Europe,4.923,1,7.52,4.245,4.422
Bilbao, Spain,Europe,6.888,5.638,9.321,6.014,6.96525
Birmingham, United Kingdom,Europe,5.904,5.814,8.294,4.435,6.11175
San Francisco Bay Area,United States,North America,1,2.618,6.449,9.407,4.8685
Bogota, Colombia,South America,9.028,9.08,6.302,6.215,7.65625
San Luis Obispo,United States,North America,1.724,0,5.871,2.776,2.59275
Bologna, Italy,Europe,7.472,5.189,8.578,5.736,6.74375
Bordeaux, France,Europe,7.192,4.583,8.823,5.3,6.4745
Boulder,United States,North America,3.704,4.531,7.05,2.565,4.4625
Colorado Springs,United States,North America,6.5,5.375,5.844,3.812,5.38275
Denver,United States,North America,3.838,5.102,6.22,6.224,5.346
Bratislava, Slovakia,Europe,7.874,7.618,6.752,6.186,7.1075
Brighton, United Kingdom,Europe,2.49,5.324,7.716,4.87,5.1
Brisbane, Australia,Oceania,5.212,5.177,8.318,4.01,5.67925
Bristol, United Kingdom,Europe,5.216,5.242,8.252,3.862,5.643
Brno, Czechia,Europe,8.329,7.926,8.097,5.352,7.426
Brussels, Belgium,Europe,6.355,4.477,8.158,8.144,6.7835
Bucharest, Romania,Europe,9.187,8.516,6.075,6.959,7.68425
Budapest, Hungary,Europe,8.57,7.948,5.746,8.253,7.62925
Buenos Aires, Argentina,South America,8.812,7.764,6.979,7.674,7.80725
Fort Collins,United States,North America,2.745,0,6.831,2.746,3.0805
Cairo, Egypt,Africa,10,10,4.041,6.186,7.55675
Calgary, Canada,North America,6.495,5.418,8.026,4.268,6.05175
Cambridge, United Kingdom,Europe,4.106,4.851,8.189,2.455,4.90025
Cape Town, South Africa,Africa,6.764,7.955,4.343,4.736,5.9495
Caracas, Venezuela,South America,4.902,9.82,4.178,4.38,5.82
Cardiff, United Kingdom,Europe,7.065,6.082,8.318,5.028,6.62325
Casablanca, Morocco,Africa,8.822,9.088,4.47,2.683,6.26575
Washington,United States,North America,1.21,3.595,6.258,10,5.26575
Jacksonville,United States,North America,6.45,5.359,6.199,5.655,5.91575
Miami,United States,North America,3.031,4.497,6.031,6.768,5.08175
Chennai, India,Asia,10,10,4.075,2.228,6.57575
Chiang Mai, Thailand,Asia,9.372,8.495,7.394,6.848,8.02725
Orlando,United States,North America,5.778,5.284,5.967,5.93,5.73975
Chisinau, Moldova,Europe,9.676,9.343,5.066,2.712,6.69925
Christchurch, New Zealand,Oceania,6.934,5.096,8.312,3.224,5.8915
Tampa Bay Area,United States,North America,5.696,5.253,6.573,6.434,5.989
Atlanta,United States,North America,4.976,5.241,6.023,7.765,6.00125
Cluj-Napoca, Romania,Europe,9.165,8.794,6.434,2.628,6.75525
Cologne, Germany,Europe,6.526,5.607,8.04,5.322,6.37375
Honolulu,United States,North America,2.342,2.867,6.431,7.623,4.81575
Boise,United States,North America,6.964,6.578,6.797,4.2,6.13475
Copenhagen, Denmark,Europe,4.227,3.426,7.985,7.063,5.67525
Cork, Ireland,Europe,5.515,4.902,7.426,2.532,5.09375
Curitiba, Brazil,South America,9.43,8.433,5.897,7.188,7.737
Chicago,United States,North America,3.702,4.766,6.216,8.193,5.71925
Dar es Salaam, Tanzania,Africa,7.652,8.026,3.239,1.205,5.0305
Delhi, India,Asia,9.752,9.869,3.713,5.683,7.25425
Indianapolis,United States,North America,6.266,5.478,6.151,7.299,6.2985
Des Moines,United States,North America,6.851,6.327,6.709,6.066,6.48825
Louisville,United States,North America,7.258,6.358,6.162,5.694,6.368
Doha, Qatar,Asia,2.132,6.183,7.434,4.62,5.09225
Dresden, Germany,Europe,7.885,6.028,8.394,6.638,7.23625
Dubai, United Arab Emirates,Asia,2.591,5.49,6.392,4.67,4.78575
